Plot;ND;Kammer;Plant;NGehalt;CO2;PAR;CuvTemp;Temp;LeafTemp;Assi;IntCO2
11;2;8;1128;4.79;351;1005;17.2;16;15.6;17.7;307
11;2;8;1128;4.79;350.7;447;17.1;16;15.7;14.8;305
11;2;8;1128;4.79;350.7;232;17.1;16;16.1;10.5;304
11;2;8;1128;4.79;350.9;69;17;16;16.2;1.8;337
11;2;8;1128;4.79;350.8;29;17;16;16.3;1.3;339
11;2;8;1128;4.79;350.8;10;16.9;16;16.3;-0.6;350
11;2;8;1128;4.79;350.7;3;16.9;16;16.3;-2.8;365
11;2;8;1128;4.79;350.9;0;17;16;16.5;-3.8;373
11;2;8;1128;4.79;350.9;0;17.1;16;16.6;-4.3;381
13;1;8;1318;1.52;350.8;1005;17;16;16.5;3.1;323
13;1;8;1318;1.52;350.9;447;17;16;16.5;3.5;318
13;1;8;1318;1.52;350.6;232;16.9;16;16.5;3.5;314
13;1;8;1318;1.52;350.5;69;16.6;16;16.3;1.1;334
13;1;8;1318;1.52;350.4;29;16.6;16;16.4;-0.2;348
13;1;8;1318;1.52;350.5;10;16.8;16;16.7;-1.9;374
13;1;8;1318;1.52;350.5;3;16.8;16;16.7;-2.5;382
13;1;8;1318;1.52;350.5;0;16.8;16;16.7;-3.3;390
13;1;8;1318;1.52;350.5;0;16.9;16;16.7;-3.5;394
9;1;8;918;2.1;351;1005;16.3;16;15.4;7.5;317
9;1;8;918;2.1;351.2;447;16.3;16;15.5;8.7;306
9;1;8;918;2.1;351.4;232;16.3;16;15.8;7.3;298
9;1;8;918;2.1;351.4;69;16.3;16;15.9;1.6;334
9;1;8;918;2.1;351.2;29;16.2;16;15.8;-2.1;365
9;1;8;918;2.1;352;10;16.3;16;16;-2.4;371
9;1;8;918;2.1;351.7;3;16.3;16;16;-3.5;382
9;1;8;918;2.1;351.3;0;16.3;16;16;-4.3;389
9;1;8;918;2.1;351.2;0;16.3;16;16;-4.7;392
13;1;9;1319;1.46;351.2;1005;15.5;16;14.7;1;341
13;1;9;1319;1.46;351.2;447;15.5;16;14.8;0.9;341
13;1;9;1319;1.46;351.5;232;15.4;16;14.7;1;340
13;1;9;1319;1.46;351.5;69;15.1;16;14.6;0.3;344
13;1;9;1319;1.46;351.7;29;15;16;14.6;0.1;345
13;1;9;1319;1.46;351.7;10;15;16;14.7;-0.6;354
13;1;9;1319;1.46;351.8;3;15;16;14.7;-1.5;365
13;1;9;1319;1.46;351.9;0;15;16;14.7;-2.2;373
13;1;9;1319;1.46;352.3;0;15;16;14.8;-2;373
9;1;9;919;1.72;353.5;1005;15.2;16;14.3;7.2;309
9;1;9;919;1.72;353.8;447;15.1;16;14.3;7.7;304
